"Data Source","World Development Indicators",

"Last Updated Date","2026-07-13",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84.8984771573604","86.6396761133603","82.5309992706054","79.6377054679638","79.928664072633","74.3860109498193","70.9967837702649","64.5643135803172","62.7312132409209","64.6655585140977","68.0752981880873","64.5941526531523","65.0612625386555","65.5292950658025","62.9185634689552","60.2181860904717","69.7510127562388","73.1035458041627","73.5764358929723","75.4546231589626","70.3217227986333","68.9666600570598","69.6369362107407","68.4088639609739","66.7030809219838","53.802537849084","67.3235487070639","80.7428143791554","79.8588933716615","85.9688151817883","",
"Africa Eastern and Southern","AFE","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","27.9022727381184","22.7477531736348","20.4726753334678","20.0825011556428","20.7227471768736","22.0005520706988","23.3215170977892","24.6031276578107","23.6881179874589","22.0249422039509","20.3024567059601","18.4391931443722","21.4602727582505","22.6439229212955","23.6342975939517","24.2987159258599","25.4019688189712","24.4832899559001","24.8101365318032","24.7346970094741","25.5458281643018","27.2075547915452","27.535691175228","25.3435760791817","25.5076384535665","27.4187648320494","29.2337914845654","31.5737589559961","34.9231992557532","26.9152499176512","29.0142188659107","30.9777286742066","29.4705342149546","28.8108336643313","27.7424183258334","23.908542224775","23.6847419806965","23.7950438337964","25.3367082736352","23.9488254031749","22.1912368193954","25.7282688404396","27.0330789398506","26.1604657168212","25.5215824374484","25.5665587243646",
"Afghanistan","AFG","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.4208171386207","14.342152797537","18.3800424016375","16.2352784419391","15.7027518479481","",
"Africa Western and Central","AFW","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49.4975384821664","47.5644609673603","51.0441768859082","58.7232661862792","56.8533385675726","61.2105085582818","65.0305321879704","50.899386395701","53.8925161324003","54.1205324820007","50.0270607126239","45.232320919781","37.014326749248","26.1489317126281","24.2972921889814","25.0848249879727","35.848110999411","36.9500822651989","31.7595359781269","40.092305214066","36.0134857147868","32.6693723720411","30.8795219046294","22.9777500640377",
"Albania","ALB","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","23.9574919106695","23.8105066597225","20.0729179060642","18.8520751406844","18.0403314265347","16.8203725696072","15.6061801305352","16.0299218388153","16.9793941336596","18.5933534612466","15.4050638293415","7.48481872467814","12.4995914932505","15.9788298133865","11.983694347693","12.2696512257008","11.4951450178899","10.0408492363618","11.2273038242118","16.4734334387411","19.5304708980011","20.6135666190169","20.1711859333135","20.1638803786461","21.5517522222215","22.4427818397267","24.5085919324007","27.1308199124046","24.5826619203536","24.644624460972","27.6099296701047","29.0544738022633","29.1107709360814","28.8694020076469","28.0683434875498","27.0693224620319","28.6697931741608","31.0017957888583","31.1140135421951","30.9361224858484","22.5407585558933","31.1330562572669","37.1970755614977","38.4188212901288","36.2848685351465","37.0141194079686",
"Andorra","AND","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.9191838679293","39.1962893423327","42.49230557603","47.3953954743361","52.0395912552096","53.6217489439315","53.6007291989536","56.4793637307042","45.8937247956447","48.2995980461891","52.6260158765468","54.0815768620635","52.1910933717152","48.3226102138957","40.0715424799473","37.3373626605068","41.5501745038547","44.2298142763164","41.932029685868","35.6320922451355","41.3602061150739","47.6567008332038","46.8268242818741","","",
"United Arab Emirates","ARE","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49.1592295028153","49.5033971592168","55.9231460950632","63.5677815721966","67.5853113937653","68.6278004220408","72.3840931942051","78.8678887008838","79.6533178623883","77.4455521760851","85.6286738245297","95.6008433485867","95.755207057533","94.7738651442525","93.8625203312699","94.4747232332881","94.737385589121","90.8429799324319","93.3023068879995","98.0724956970145","100.642599583908","102.051988781325","106.846123390953","","",
"Argentina","ARG","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","7.60404910825644","5.9949469947787","4.69184275899831","7.89045420262462","5.56371560478508","6.22587443766796","6.65291738359955","7.4955962262493","6.48445346277515","6.3987133165299","5.601566676004","6.00723288128889","7.19776583908352","7.61266772119213","6.9025707976099","5.82405179865594","9.17538829640174","9.61589241271337","8.60838993811478","6.5109154667574","5.06197268111518","6.92104948030999","9.09049307859513","9.15152068682072","7.5898953117888","11.7360980207352","8.16197754429543","7.87320581340031","9.53161297293404","13.0584089085641","10.3595365925264","7.67504334832217","6.5981874720374","6.90935153370832","7.52994872591672","9.68041025959015","10.4285967560139","10.5608501019262","10.4155819610919","9.82717451494235","10.9863752325576","11.5790080825317","28.3825969991682","25.9309429264224","23.8476194239892","23.2458767338576","23.0266946038115","22.6627503115066","22.0609003826242","19.5609850560818","18.9338234053709","18.4492091453155","16.2378594620246","14.6171733884386","14.4054785893756","10.7056520504538","12.5270951690009","11.3202833596733","14.4366857499034","17.9248783778462","16.6054144372484","18.0667091690365","16.2816677253254","12.8223120961047","15.2497485928824","15.5556611218587",
